id,label,status
VA6C,Taser,agrees
VA6D,Your team takes the lead,agrees
VA6E,Your team has lost the lead,agrees
VA6F,Team Tactical; TACTICAL,agrees
VA6G,Tear Gas,differs
VA6H,10 Minutes; 10 min,agrees
VA6I,The Hive,agrees
VA6J,The Swarm,agrees
VA6K,Thick Skin,agrees
VA6L,"Three, Two, One; 36952.0",differs
VA6M,Toughness,agrees
VA6N,Tracker Rounds,agrees
VA6O,Trip mine,agrees
VA6P,25 Minutes,agrees
VA6Q,20 Minutes; 20 min,agrees
VA6R,Enemy UAV detected,agrees
VA6S,Incoming UAV,agrees
VA6T,UAV,differs
VA6U,Under Cover,differs
VA6V,Unlimited,agrees
VA6W,Upgrade Complete,agrees
VA6X,Shields Depleted,agrees
VA6Y,Shields Online,agrees
VA6Z,Kill,agrees
VA7,ugh thats better,agrees
VA70,Target Mode,agrees
VA71,Vanguard,agrees
VA72,The VIP has been killed,agrees
VA73,Water Cooling,agrees
VA74,Weapons box delivered,agrees
VA75,Weapons box detected,agrees
VA76,Incoming weapon box,agrees
VA77,Weapons box,agrees
VA78,Welcome to Lasertag Pro,differs
VA79,Our flag has been returned,agrees
VA7A,Our flag has been captured,agrees
VA7B,Our team has the flag,agrees
VA7C,Welcome to Battle 360,agrees
VA7D,Choose your destiny,agrees
VA7E,Double Kill,agrees
VA7F,Fatality,agrees
VA7G,Finish Him,agrees
VA7H,First Blood,agrees
VA7I,Flawless Victory,agrees
VA7J,Killamanjaro; KILLAMENJARO,differs
VA7K,Killing Spree,agrees
VA7L,Killionaire,differs
VA7M,Killtacular; KILL TACULAR,differs
VA7N,Killtastrophy; KILL TASTRIFY,differs
VA7O,Killtrosity; KILL TROSITY,differs
VA7P,Test your might,agrees
VA7Q,Triple Kill; TRIPPLE KILL,differs
VA8,Kill,agrees
VA80,"Three, Two, One",agrees
VA81,"Three, Two, One; 3, 2, 1, WITH MUSIC",differs
VA82,"Three, Two, One",agrees
VA83,"Countdown from 10; 10, 9, ..., 0",differs
VA84,"Countdown from 10; 10, 9, ... 0 W MUSIC",differs
VA85,"Countdown from 10; 10, 9, ..., 0",differs
VA86,Health Critical,agrees
VA87,Health Low,agrees
VA88,Armor Depleated,differs
VA89,Armor Critical,agrees
VA8A,Armor Low,agrees
VA8B,Shields Depleted,agrees
VA8C,Shields Online,differs
VA8D,Overtime,agrees
VA8E,Kill Confirmed,agrees
VA8F,"""Assault""; SHARED LIVES",differs
VA8G,"""Auto detection""",agrees
VA8H,"""Battle company systems online""",agrees
VA8I,"""Battle lines""",agrees
VA8J,"""Battle Royale""; BATTLE ROYALE",agrees
VA8K,"""Battle Strike""",agrees
VA8L,"""Battle Watch""",agrees
VA8M,"""Battle World""",agrees
VA8N,"""Borderlands""",agrees
VA8O,"""Brawl""; GUN GAME",differs
VA8P,"""Capture the Flag""; CAPTURE THE FLAG",agrees
VA8Q,"""Connection Accepted""",agrees
VA8R,"""Connection Lost""",agrees
VA8S,"""Connection rejected""",agrees
VA8T,"""Debug mode""; DEBUG MODE",agrees
VA8U,"""Demo mode""",agrees
VA8V,"""Devices cleared""; PAIRING CLEARED",differs
VA8W,"""Enemy detected""",agrees
VA8X,"""Fail""",agrees
VA8Y,"""Game Found""",agrees
VA8Z,"""Hud connected""",agrees
VA9,Kill,agrees
VA90,"""HUD Disconnected""",differs
VA91,"""Incoming HUD Connectino Request""",agrees
VA92,"""Incoming Phone Connection Request""",agrees
VA93,"""King of the Hill""; KING OF THE HILL",agrees
VA94,"""Laser Calibration""",agrees
VA95,"""Loading""",agrees
VA96,"""Motion Detected""",agrees
VA97,"""Motion Sensor""; MOTION SENSOR",agrees
VA98,"""Pass""",agrees
VA99,"""Phone Connected""; PHONE CONNECTED",agrees
VA9A,"""Phone disconnected""; PHONE DISCONNECTED",agrees
VA9B,"""Please confirm with the select key""",agrees
VA9C,"""Primary boot loader""; PRIMARY BOOT LOADER",differs
VA9D,"""Primary Device""",agrees
VA9E,"""Primary""; ADMIN LOCKED",differs
VA9F,"""Proximity mine""",differs
VA9G,"""Replicant""",agrees
VA9H,"""Respawn Station""; Respawn Station",differs
VA9I,"""Scanning for Device""",agrees
VA9J,"""Searching""",agrees
VA9K,"""Secondary Boot Loader""; SECONDARY BOOT LOADER",differs
VA9L,"""Secondary Device""",agrees
VA9M,"""Secondary""; ADMIN FULL LOCKED",differs
VA9N,"""Sensors Offline""",agrees
VA9O,"""Silenced AR""; Silenced AR",differs
VA9P,"""Survival Games""",agrees
VA9Q,"""Testing Complete""; TESTING COMPLETE",agrees
VA9R,"""Testing initiated""; TEST MODE",differs
VA9S,"""Volume""; VOLUME",agrees
VA9T,"""One more weapon ready for duty""",agrees
VA9U,"""Welcome to Battle Company""; WELCOME TO BATTLE COMPANY",agrees
VAA,Kill,agrees
VAB,Everybody Dies,agrees
VAC,Another yell,differs
VAD,HOOO,agrees
VAE,Cough pain,differs
VAF,more pain,differs
VAG,more hurt,differs
VAH,another hurt,differs
VAI,Theres nowhere for you to hide,agrees
VAJ,Ummmmm electruction?,differs
VAK,Take That,agrees
VAL,No Mercy,agrees
VAM,Reaper,agrees
VAN,HuRah,differs
VAO,Good to Go,agrees
VAP,Lets head back to base,agrees
VAQ,Lets move out,agrees
VAR,Good job team,agrees
VB01,Base Captured,agrees
VB02,Base Destroyed,agrees
VB03,Blue team is closing in on victory,agrees
VB04,Blue flag has been captured; BLUE FLAG CAPTURED,agrees
VB05,Blue flag has been returned; BLUE FLAG RETURNED,agrees
VB06,Blue flag has been taken; BLUE FLAG TAKEN,agrees
VB07,Blue team gained the lead; BLUE TEAM TAKES THE LEAD,agrees
VB08,Blue team has one player remaining,agrees
VB09,Codes Captured,differs
VB0A,Codes compromised,differs
VB0B,Codes returned,agrees
VB0C,Flag has been captured,agrees
VB0D,The flag has been returned,agrees
VB0E,The flag has been taken,agrees
VB0F,Fortress Captured,agrees
VB0G,Fortress Lost,agrees
VB0H,Green team is closing in on victory,agrees
VB0I,Green flag has been captured; GREEN FLAG CAPTURED,agrees
VB0J,Green flag has been returned; GREEN FLAG RETURNED,agrees
VB0K,Green flag has been taken; GREEN FLAG TAKEN,agrees
VB0L,Green team gained the lead; GREEN TEAM TAKES THE LEAD,agrees
VB0M,Green team has one player remaining,agrees
VB0N,Hill Captured,agrees
VB0O,Hill Contested,agrees
VB0P,Hill Controlled; HILL LOST,differs
VB0Q,Hill Moved,agrees
VB0R,Pink Team is closing in on victory,agrees
VB0S,Pink flag has been captured; PINK FLAG CAPTURED,agrees
VB0T,Pink flag has been returned; PINK FLAG RETURNED,agrees
VB0U,Pink flag has been taken; PINK FLAG TAKEN,agrees
VB0V,Pink team gained the lead; PINK TEAM TAKES THE LEAD,agrees
VB0W,Pink team has one player remaining,agrees
VB0X,Purple team is closing in on victory,agrees
VB0Y,Purple flag has been captured; PURPLE FLAG CAPTURED,agrees
VB0Z,Purple flag has been returned; PRPLE FLAG RETURNED,differs
VB1,go go go,agrees
VB10,Purple flag has been taken; PURPLE FLAG TAKEN,agrees
VB11,Purple team gained the lead; PURPLE TEAM TAKES THE LEAD,agrees
VB12,Purple team has one player remaining; PURMPLE TEAM HAS ONE PLAYER REMAINING,agrees
VB13,Red team is closing in on victory,agrees
VB14,Red flag has been captured; RED FLAG CAPTURED,agrees
VB15,Red flag has been returned; RED FLAG RETURNED,agrees
VB16,Red flag has been taken; RED FLAG TAKEN,agrees
VB17,Red team gained the lead; RED TEAM TAKES THE LEAD,agrees
VB18,Red team has one player remaining; RED TEAM HAS ONE LAYER REMAINING,agrees
VB19,White team is closing in on victory; CYAN TEAM IS CLOSING IN ON VICTORY,agrees
VB1A,White flag has been captured; CYAN FLAG CAPTURED,agrees
VB1B,White flag has been returned; CYAN FLAG RETURNED,agrees
VB1C,White flag has been taken; CYAN FLAG TAKEN,differs
VB1D,White team gained the lead; CYAN TEAM TAKES THE LEAD,agrees
VB1E,White team has one player remaining; CYAN TEAM HAS ONE PLAYER REMAINING,agrees
VB1F,Yellow team is closing in on victory,agrees
VB1G,Yellow flag has been captured; YELLOW FLAG CAPTURED,agrees
VB1H,Yellow flag has been returned; YELLOW FLAG RETURNED,agrees
VB1I,Yellow flag has been taken; YELLOW FLAG TAKEN,agrees
VB1J,Yellow team gained the lead; YELLOW TEAM TAKES THE LEAD,agrees
VB1K,Yellow team has one player remaining,agrees
VB1L,You control the battlefield,agrees
VB1M,The infection has spread,agrees
VB1N,Green team wins,agrees
VB1O,Bravo team wins,agrees
VB1P,Blue team wins,agrees
VB1Q,Alpha team wins,agrees
VB1R,Yellow team wins,agrees
VB1S,White team wins; CYAN TEAM WINS,differs
VB1T,Survivors have held their ground,agrees
VB1U,Red team wins,agrees
VB1V,Purple team wins,agrees
VB1W,Pink team wins,agrees
VB2,coughing; Female gassed,differs
VB3,hurt,differs
VB4,yell,differs
VB5,more hurt,differs
VB6,heavy breathing; female recovering,differs
VB7,All Set,agrees
VB8,Target Down,agrees
VB9,Target Down,agrees
VBA,Target Down,agrees
VBB,Gotta lose sometime,agrees
VBC,yell,differs
VBD,yell,differs
VBE,hurt,differs
VBF,more hurt,differs
VBG,hurt agin,differs
VBH,ouch,differs
VBI,Lets Move,differs
VBJ,uh electrocution?,differs
VBK,Dead man walking,agrees
VBL,Hmf to easy,differs
VBM,Stout,differs
VCM,Sentinel,differs
VD2,female coughing,differs
VD6,technician catching breath,differs
VDM,Sniper,agrees
VE2,guy being gassed,differs
VEM,Soldier,agrees
VFJ,nexus suffering or gassed,differs
VGJ,sniper or technician being electricuted,differs
VGK,I can fix everything - technician,agrees
VGL,Good thing the medigel capsules didnt explode in the allies this time,differs
VGM,Technician,agrees
VH2,Male gassed,differs
VHJ,guy veing electricuted,differs
VHM,Valkyrie,agrees
VIP,VIP,agrees
VJ6,man recovering from injury,differs
VJM,Viper,agrees
VKM,Wraith,differs
VM2,female coughing,differs
VM6,guy catching breath,differs
VN1,Target Locked,agrees
VN2,Ouch and lots of coughing; man gassed,differs
VN3,argh,differs
VN4,Scream,differs
VN5,hurt,differs
VN6,deep breaths; Man recovering,differs
VN7,Restocked,agrees
VN8,Kill Confirmed,differs
VN9,Kill Confirmed,agrees
VNA,Kill Confirmed,agrees
VNB,The target is lost,agrees
VNC,HA,agrees
VND,HU,differs
VNE,AHH,differs
VNF,another hurt,differs
VNG,more hurt,differs
VNH,hurt again,differs
VNI,The Battle Begins,agrees
VNJ,UMMM long hurt; guy pushing out a poop,differs
VNK,Bullseye,agrees
VNL,No one will stand in my way,agrees
VNM,Mercenary,agrees
VPJ,man being electricuted,differs
VQ1,Nexus Commander,agrees
VQ7,NEXUS,agrees
VQB,infected 10 second count down,differs
VR1,Vanguard Commander,agrees
